Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2026-06-08T14:49:15.859Z,BWXT,BUY - MARKET,2,USD 188.52,USD 377.05,USD,0.0478
2026-06-08T14:49:16.148775Z,,CASH TOP-UP,,,USD 395.14,USD,0.0478
2026-06-08T14:51:00.571320Z,,CASH WITHDRAWAL,,,USD -8.09,USD,0.0478
2026-06-08T14:51:10.811724Z,,CASH WITHDRAWAL,,,USD -10,USD,0.0478
2026-06-15T16:13:52.461Z,PLTR,SELL - MARKET,10,USD 134.55,USD 1345.50,USD,0.0482
2026-06-16T08:37:06.502348Z,,CASH WITHDRAWAL,,,USD -1345.50,USD,0.0482
2026-06-17T19:57:16.605Z,PLTR,SELL - MARKET,10,USD 130.25,USD 1302.46,USD,0.0477
2026-06-18T16:42:39.342006Z,,CASH WITHDRAWAL,,,USD -1302.46,USD,0.0475
2026-06-23T14:15:16.135Z,PLTR,SELL - MARKET,10,USD 118.71,USD 1187.06,USD,0.0472
2026-06-24T07:14:32.340426Z,,CASH WITHDRAWAL,,,USD -1187.06,USD,0.0470
2026-06-25T13:52:21.105Z,PLTR,SELL - MARKET,10,USD 107.98,USD 1079.74,USD,0.0470
2026-06-26T20:04:48.889613Z,,CASH WITHDRAWAL,,,USD -1079.74,USD,0.0471
2026-06-30T17:14:22.260Z,PLTR,SELL - MARKET,12.24584336,USD 118.28,USD 1448.43,USD,0.0472
2026-07-01T09:25:40.849950Z,,CASH WITHDRAWAL,,,USD -1448.43,USD,0.0471
2026-07-13T19:08:27.201Z,PLTR,SELL - MARKET,10,USD 129.45,USD 1294.50,USD,0.0470
2026-07-13T19:09:22.793688Z,,CASH TOP-UP,,,USD 3.75,USD,0.0470
2026-07-13T19:09:38.034366Z,,CASH TOP-UP,,,USD 0.56,USD,0.0470
2026-07-13T19:09:45.346Z,SPCX,BUY - MARKET,9,USD 137.42,USD 1236.78,USD,0.0470
2026-07-16T18:12:38.281Z,PLTR,SELL - MARKET,10,USD 134.25,USD 1342.42,USD,0.0474
2026-07-20T07:46:31.758229Z,,CASH WITHDRAWAL,,,USD -1404.45,USD,0.0474
2026-07-20T19:20:08.282Z,PLTR,SELL - MARKET,10,USD 135.72,USD 1357.20,USD,0.0473
2026-07-21T12:40:04.620012Z,,CASH WITHDRAWAL,,,USD -1357.20,USD,0.0474
2026-07-21T15:16:46.061Z,PLTR,SELL - MARKET,9,USD 132.84,USD 1195.49,USD,0.0473
2026-07-21T15:17:18.458Z,BE,BUY - MARKET,5,USD 222.19,USD 1110.95,USD,0.0473
2026-08-04T13:30:02.307Z,PLTR,SELL - MARKET,10,USD 145,USD 1449.96,USD,0.0477
2026-08-04T13:31:05.487Z,SPCX,BUY - MARKET,12,USD 118.18,USD 1418.16,USD,0.0477
2026-08-04T17:49:58.042Z,PLTR,SELL - MARKET,10,USD 163.97,USD 1639.62,USD,0.0478
2026-08-05T17:08:14.436551Z,,CASH WITHDRAWAL,,,USD -1755.96,USD,0.0479
